Year,fua_code,fua_name,ndvi
2000,IT047L1,Massa,0.5289595326716606
2000,IT048L2,Cosenza,0.6336420415180924
2000,IT052L1,Savona,0.7214881076176222
2000,IT054L1,Matera,0.2788194488244825
2000,IT056L1,Acireale,0.49722462073309004
2000,IT057L2,Avellino,0.5663810400078545
2000,IT058L2,Pordenone,0.5247808597347059
2000,IT060L1,Lecco,0.5438068390273502
2000,IT061L0,Altamura,0.2700742383107894
2000,IT064L1,Battipaglia,0.38586248942824014
2000,IT065L0,Bisceglie,0.3241289843058007
2000,IT066L1,Carpi,0.44610399207999607
2000,IT067L0,Cerignola,0.3481357813006216
2000,IT068L1,Gallarate,0.4430773431667565
2000,IT069L1,Gela,0.2788909001108956
2000,IT073L1,Sassuolo,0.45271403753321193
2000,IT501L2,Messina,0.4779745811373292
2000,IT502L2,Prato,0.49979792110400434
2000,IT503L3,Parma,0.48296597176014144
2000,IT504L3,Livorno,0.4777360259032948
2000,IT505L3,Reggio nell'Emilia,0.501219011829666
2000,IT506L2,Ravenna,0.41523561823613114
2000,IT507L2,Ferrara,0.3083597740996046
2000,IT508L3,Rimini,0.421264314407425
2000,IT509L3,Siracusa,0.4038289833800823
2000,IT511L2,Bergamo,0.41039795362966724
2000,IT512L3,ForlÃ¬,0.5150527257394667
2000,IT513L3,Latina,0.5014963763351653
2000,IT514L2,Vicenza,0.4594060866185869
2000,IT515L2,Terni,0.5879659007219805
2000,IT516L2,Novara,0.4293575588907735
2000,IT518L1,Alessandria,0.4157129410478641
2000,IT519L1,Arezzo,0.5690306980544025
2000,IT520L1,Grosseto,0.4720045963628231
2000,IT521L1,Brindisi,0.3217435695439514
2000,IT522L1,Trapani,0.2539284253475279
2000,IT523L1,Ragusa,0.3802178593093031
2000,IT524L0,Andria,0.33176763648114527
2000,IT525L0,Trani,0.31916760220601903
2000,IT526L1,L'Aquila,0.5524253741133073
2000,LT001L1,Vilnius,0.643821785803453
2000,LT002L1,Kaunas,0.6558561287387535
2000,LT003L1,PanevÄÅ¾ys,0.681232033909924
2000,LT004L0,Alytus,0.6042264308881664
2000,LT501L0,KlaipÄda,0.5230402835682773
2000,LT502L0,Å iauliai,0.576964589886137
2000,LU001L1,Luxembourg,0.7220399867406686
2000,LV001L1,RÄ«ga,0.6892903127515673
2000,LV002L2,LiepÄja,0.645440559839011
2000,LV003L1,Jelgava,0.6578332077422195
2000,LV501L1,Daugavpils,0.728773963354517
2000,ME001L1,Podgorica,0.5732138734405239
2000,MK001L1,Skopje,0.4874061246077037
2000,MK003L1,Bitola,0.5431256940443625
2000,MK004L1,Tetovo,0.6028992852404487
2000,MK005L1,Prilep,0.4578767619854497
2000,MT001L1,Valletta,0.2501080031405381
2000,NL001L3,s' Gravenhage,0.5454911932566694
2000,NL002L3,Amsterdam,0.5784626784870235
2000,NL003L3,Rotterdam,0.5611719597457222
2000,NL004L3,Utrecht,0.6689633589817797
2000,NL005L3,Eindhoven,0.6611281013493928
2000,NL006L3,Tilburg,0.681194600984855
2000,NL007L3,Groningen,0.6367477203167674
2000,NL008L3,Enschede,0.6838976063031116
2000,NL009L3,Arnhem,0.654429759855424
2000,NL010L3,Heerlen,0.6241282871347757
2000,NL012L3,Breda,0.6473320450951352
2000,NL013L3,Nijmegen,0.6534459742517317
2000,NL014L3,Apeldoorn,0.7100857389616001
2000,NL015L3,Leeuwarden,0.670078855924307
2000,NL016L3,Sittard-Geleen,0.5991825578769049
2000,NL020L3,Roosendaal,0.607857674032091
2000,NL026L0,Alphen aan den Rijn,0.6177959706743561
2000,NL028L3,Bergen op Zoom,0.5756045033961773
2000,NL030L0,Gouda,0.5316232319652872
2000,NL032L3,MiddelburgÂ Â Â Â Â Â ,0.5801543398469525
2000,NL503L3,s-Hertogenbosch,0.6423827835627185
2000,NL504L3,Amersfoort,0.6655078650072689
2000,NL505L3,Maastricht,0.6265346451108239
2000,NL507L3,Leiden,0.5366173302465517
2000,NL511L3,Zwolle,0.6821294724613052
2000,NL512L3,Ede,0.6706315577736881
2000,NL513L3,Deventer,0.6705840675239148
2000,NL514L3,Alkmaar,0.5832528590027393
2000,NL515L3,Venlo,0.6113259148204089
2000,NL519L3,Almelo,0.6616524195452341
2000,NL520L3,Lelystad,0.5500672685304279
2000,NL521L3,Oss,0.6492997157614686
2000,NL522L3,Assen,0.6491825486276412
2000,NL524L3,Veenendaal,0.6570476454621165
2000,NL529L3,Soest,0.6366410013805044
2000,NO001L1,Oslo,0.567580505386456
2000,NO002L1,Bergen,0.6026516781963531
2000,NO003L1,Trondheim,0.5150559030164215
2000,NO004L1,Stavanger,0.6193766737350134
2000,NO005L1,Kristiansand,0.7261938260804234
2000,NO006L1,TromsÃ¸,
2000,PL001L2,Warszawa,0.5832654671510393
2000,PL002L2,ÅÃ³dÅº,0.5756956527539546
2000,PL003L2,KrakÃ³w,0.6248705406170956
2000,PL004L2,WrocÅaw,0.5906182698291936
2000,PL005L2,PoznaÅ,0.5862494769467399
2000,PL006L2,GdaÅsk,0.61013936827634
2000,PL007L2,Szczecin,0.6381538459432425
2000,PL008L2,Bydgoszcz,0.5725720691253198
2000,PL009L2,Lublin,0.6062849218774181
2000,PL010L2,Katowice,0.6076148831452018
2000,PL011L2,BiaÅystok,0.6272950420178288
2000,PL012L2,Kielce,0.6394737119304368
2000,PL013L2,ToruÅ,0.5779763909457651
2000,PL014L2,Olsztyn,0.6653664530924276
2000,PL015L2,RzeszÃ³w,0.6917252083311033
2000,PL016L2,Opole,0.5886073990939926
2000,PL017L2,GorzÃ³w Wielkopolski,0.6279664171793358
2000,PL018L2,Zielona GÃ³ra,0.6314622576444767
2000,PL019L2,Jelenia GÃ³ra,0.7011815425788059
2000,PL020L2,Nowy SÄcz,0.7209725587490831
2000,PL021L2,SuwaÅki,0.6057735666630455
2000,PL022L2,Konin,0.5818810848749089
2000,PL024L2,CzÄstochowa,0.6089785182168248
2000,PL025L2,Radom,0.5452895756962821
2000,PL026L2,PÅock,0.6176491204874892
2000,PL027L2,Kalisz,0.5423612287575751
2000,PL028L2,Koszalin,0.6153064146356395
2000,PL029L1,SÅupsk,0.6078003942136811
